id,dealDate,dealYear,dealMonth,dealDay,sggCd,regionName,umdNm,jibun,aptNm,floor,excluUseAr,areaType,dealAmount,buildYear,dealType,updated_at,cdealType,cdealDay,cancelled,duplicate_count,group_cancelled,_resolved_type
15822,2026-08-11,2026,08,11,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,12.0,84.99,84타입,94000,2024,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15831,2026-08-08,2026,08,08,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,18.0,84.99,84타입,94500,2024,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15838,2026-08-06,2026,08,06,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,19.0,84.99,84타입,89800,2024,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15848,2026-07-31,2026,07,31,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,6.0,84.99,84타입,90000,2024,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15850,2026-07-31,2026,07,31,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,18.0,84.99,84타입,95000,2024,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15852,2026-07-28,2026,07,28,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,19.0,84.99,84타입,99000,2024,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15859,2026-07-24,2026,07,24,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,8.0,84.97,84타입,111000,2023,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15860,2026-07-23,2026,07,23,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,3.0,84.99,84타입,87000,2024,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15861,2026-07-23,2026,07,23,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,20.0,84.97,84타입,104000,2023,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15863,2026-07-23,2026,07,23,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,12.0,84.97,84타입,104000,2023,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15865,2026-07-21,2026,07,21,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,2.0,84.99,84타입,90000,2024,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15884,2026-07-14,2026,07,14,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,9.0,84.99,84타입,94300,2024,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15885,2026-07-14,2026,07,14,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,7.0,84.99,84타입,90000,2024,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15887,2026-07-13,2026,07,13,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,1.0,84.97,84타입,89500,2023,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15888,2026-07-13,2026,07,13,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,14.0,84.97,84타입,103400,2023,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15893,2026-07-11,2026,07,11,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,6.0,84.97,84타입,107500,2023,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15898,2026-07-10,2026,07,10,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,16.0,84.97,84타입,105000,2023,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
